"Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","DVD","BoxOffice","Production","Website","Response","totalSeasons"
"Pop, Lock 'n Roll","2017","N/A","29 Sep 2017","N/A","Music","Ziggy Hofmeyr","Ziggy Hofmeyr, Steven Pillemer, Steven Pillemer (screenplay)","Maurice Paige, Eric Uys, Lionel Newton, Yasira Bhelz","Raps is an ambitious street style, hip hop dancer from a poor neighborhood who believes that money is everything. He gets a lucky break and rises as a professional entertainer, but when he ...","English","South Africa","N/A","https://m.media-amazon.com/images/M/MV5BNDExNTA2NDAtYmU2OC00ZDk2LTljNmQtMjU0Nzc3MzZhMmZlXkEyXkFqcGdeQXVyNTkxNzI5MzE@._V1_SX300.jpg","N/A","N/A","N/A","tt2336014","movie","N/A","N/A","N/A","N/A","True",NULL
"Nausicaä of the Valley of the Wind","1984","PG","25 Nov 1987","117 min","Animation, Adventure, Fantasy, Sci-Fi","Hayao Miyazaki","Hayao Miyazaki (based on the manga by), Hayao Miyazaki (screenplay by), Cindy Davis (english language adaptation), Donald H. Hewitt (english language adaptation)","Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya","Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.","Japanese","Japan, USA","3 wins & 1 nomination.","https://m.media-amazon.com/images/M/MV5BZWFkN2ZhODAtYTNkZS00Y2NjLWIzNDYtNzJjNDNlMzAyNTIyXkEyXkFqcGdeQXVyODEzNjM5OTQ@._V1_SX300.jpg","86","8.1","138,779","tt0087544","movie","22 Feb 2005","N/A","Starmaker Entertainment","N/A","True",NULL
"My Neighbors the Yamadas","1999","PG","22 Dec 2000","104 min","Animation, Comedy, Family","Isao Takahata","Hisaichi Ishii (based on the comic strip by), Isao Takahata (screenplay), Leo Chu (English language adaptation), Eric Garcia (English language adaptation)","Yukiji Asaoka, Tôru Masuoka, Masako Araki, Hayato Isohata","The life and misadventures of a family in contemporary Japan.","Japanese","Japan","N/A","https://m.media-amazon.com/images/M/MV5BOThkZjMyMGYtMDNjNy00NjcwLTk1NmEtZmQwYTliMmM4YjBhXkEyXkFqcGdeQXVyMzM4NjcxOTc@._V1_SX300.jpg","75","7.2","9,966","tt0206013","movie","16 Aug 2005","N/A","N/A","N/A","True",NULL
"Toy Boy","2019","TV-MA","25 Sep 2019","N/A","Crime, Drama, Thriller","N/A","César Benítez, Juan Carlos Cueto, Rocío Martínez Llano","Jesús Mosquera, Cristina Castaño, María Pedraza, José de la Torre","A stripper sets out to prove his innocence for a crime he didn't commit and was unjustly incarcerated for seven years earlier.","Spanish","Spain","N/A","https://m.media-amazon.com/images/M/MV5BNmZhMmY5ODgtZjA5MS00ZmIzLTk2ODYtNzA3YjQ4YzE3OTAwXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg","N/A","6.5","991","tt8693266","series",NULL,NULL,NULL,NULL,"True","1"
"Godzilla: King of the Monsters","2019","PG-13","31 May 2019","132 min","Action, Adventure, Fantasy, Sci-Fi","Michael Dougherty","Michael Dougherty (screenplay by), Zach Shields (screenplay by), Max Borenstein (story by), Michael Dougherty (story by), Zach Shields (story by)","Kyle Chandler, Vera Farmiga, Millie Bobby Brown, Ken Watanabe","The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah.","English, Japanese, Chinese, Spanish","USA, Japan, Canada, Mexico","6 wins & 12 nominations.","https://m.media-amazon.com/images/M/MV5BOGFjYWNkMTMtMTg1ZC00Y2I4LTg0ZTYtN2ZlMzI4MGQwNzg4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg","48","6.1","117,004","tt3741700","movie","06 Aug 2019","N/A","Warner Bros. Pictures","N/A","True",NULL
"Untamed Romania","2018","N/A","13 Aug 2019","92 min","Documentary","Tom Barton-Humphreys","Tom Barton-Humphreys, Alex Paun","Victor Rebengiuc, Irina Rimes, Mark Strong","Beyond the commotion of the cities in Romania, there is a world unbeknown to anyone. Mountains, ancient forests and expansive wetlands provide undisturbed habitats to many of the ...","Romanian, English","Romania, UK","1 nomination.","https://m.media-amazon.com/images/M/MV5BNjc1NmZhMTQtOTkwZi00NmMyLTgwZjMtYWMyZDZiMzJhOThlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg","N/A","8.7","832","tt8076222","movie","N/A","N/A","N/A","N/A","True",NULL
"Cuddle Weather","2019","N/A","13 Sep 2019","95 min","Drama, Romance","Rod Marmol","Rod Marmol (screenplay)","Sue Ramirez, RK Bagatsing","After realizing that prostitutes are not entitled to the best part of love making, two sex workers form a screwy relationship as 'cuddle partners' only to realize that they want something more.","Tagalog, Filipino","Philippines","1 nomination.","https://m.media-amazon.com/images/M/MV5BNWEzZDc2OWMtZWM1MS00NzM2LWFlNjYtMzcwMGI2MDNkYTk0XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg","N/A","6.2","128","tt10896172","movie","N/A","N/A","N/A","N/A","True",NULL
"Dragon Quest: Your Story","2019","N/A","02 Aug 2019","103 min","Animation, Adventure, Family","Takashi Yamazaki","Yuji Horii (original story), Michael Schneider (adr writer)","Kasumi Arimura, Steve Blum, Shaun Conde, Jacob Craner","Based on the fifth Dragon Quest game.","Japanese","Japan","N/A","https://m.media-amazon.com/images/M/MV5BNDg2N2E3ZmEtZDdlNS00MmZiLTkzMTEtOTczYWZlMTg5MDJlXkEyXkFqcGdeQXVyMTAyNzc0MDkz._V1_SX300.jpg","N/A","6.6","1,477","tt10127562","movie","N/A","N/A","N/A","N/A","True",NULL
"Fanatyk","2017","N/A","24 Dec 2017","33 min","Short, Drama","N/A","Michal Tylka","Juliusz Chrzastowski, Piotr Cyrwus, Marian Dziedziel, Sandra Herbich","A short film based on famous copy-paste text by Malcolm XD about a father - fanatic fisherman and his internet addicted son.","Polish","Poland","N/A","https://m.media-amazon.com/images/M/MV5BNmUyYmE0NzctMzhkZS00YzQ2LWIzY2MtNTQ4ZjJhY2Q4M2M3XkEyXkFqcGdeQXVyNzQyNjcwNDk@._V1_SX300.jpg","N/A","6.5","153","tt7786346","movie","N/A","N/A","N/A","N/A","True",NULL
"French Toast","2015","N/A","24 Apr 2015","87 min","Romance","Paul Krüger, Anél Stolp","Tina Kruger","Lika Berning, Thierry Ballarin, Deon Lotz, Heléne Lombard","Lisa lives with her father, Izak on a wine farm in Franschoek. Her mother died some time ago, and left a french toast recipe that only a few people know. One day she finds her mothers diary...","English, Afrikaans, French","South Africa","N/A","https://m.media-amazon.com/images/M/MV5BN2Y3MjVhNzgtNzQ4ZC00NjViLTlmYTAtZDhlZmE3MDlkZjg4XkEyXkFqcGdeQXVyNTc3NjA4MDk@._V1_SX300.jpg","N/A","5.5","103","tt5000984","movie","N/A","N/A","N/A","N/A","True",NULL
"El Final del Paraíso","2019–","N/A","13 Aug 2019","44 min","Action, Drama","N/A","N/A","Carmen Villalobos, Kimberly Reyes, Fabián Ríos, Gregorio Pernía","Catalina Santana's new mission will force her to face demons that threaten to destroy her and her family.","Spanish","USA, Colombia","1 nomination.","https://m.media-amazon.com/images/M/MV5BNjI2ODQxNzYtY2E5NS00ZmQxLWFhYmItNDAyMmZiZGMxYjVmXkEyXkFqcGdeQXVyMjQ2MDQwNDU@._V1_SX300.jpg","N/A","5.7","34","tt10367818","series",NULL,NULL,NULL,NULL,"True","1"
"Love for Sale 2","2019","N/A","31 Oct 2019","92 min","Drama","Andibachtiar Yusuf","Mohammad Irfan Ramly, Andibachtiar Yusuf","Della Dartyan, Adipati Dolken, Ratna Riantiarno, Ariyo Wahab","Tired of matchmaking by his mother, Ican bring a girl from dating application and introduced her to Ros. Their family became warmed thanks to Arini and Ican started likes her.","Indonesian","Indonesia","N/A","https://m.media-amazon.com/images/M/MV5BYzJjZmE1ZTgtYjJiNC00ZDdkLWEwMjEtNDQwYTJjYWIwMDdmXkEyXkFqcGdeQXVyNzEzNjU1NDg@._V1_SX300.jpg","N/A","N/A","N/A","tt10643938","movie","N/A","N/A","N/A","N/A","True",NULL
"Pokémon Detective Pikachu","2019","PG","10 May 2019","104 min","Adventure, Comedy, Family, Mystery, Sci-Fi","Rob Letterman","Dan Hernandez (screenplay by), Benji Samit (screenplay by), Rob Letterman (screenplay by), Derek Connolly (screenplay by), Dan Hernandez (story by), Benji Samit (story by), Nicole Perlman (story by), Satoshi Tajiri (based on ""Pokémon"" created by), Ken Sugimori (based on ""Pokémon"" created by), Junichi Masuda (based on ""Pokémon"" created by), Hiroyuki Jinnai (original creator: Detective Pikachu)","Ryan Reynolds, Justice Smith, Kathryn Newton, Bill Nighy","In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective.","English","USA, Japan, UK, Canada","8 nominations.","https://m.media-amazon.com/images/M/MV5BNDU4Mzc3NzE5NV5BMl5BanBnXkFtZTgwMzE1NzI1NzM@._V1_SX300.jpg","53","6.6","121,097","tt5884052","movie","23 Jul 2019","N/A","Warner Bros. Pictures","N/A","True",NULL
"Azali","2018","N/A","20 Feb 2020","92 min","Drama","Kwabena Gyansah","Kwabena Gyansah (story), Gwandelen Quartey","Ama K. Abebrese, Asana Alhassan, Adjetey Anang, Akofa Edjeani Asiedu","Thrust into Accra by circumstances, a 14 year old girl from Northern Ghana must endure life in the slums of Accra and find a way to get back home","Akan","Ghana","N/A","https://m.media-amazon.com/images/M/MV5BODZkMWMzZTUtOTE3Ni00MTg0LWJiNTYtM2MyOTg5YWI5MTQ0XkEyXkFqcGdeQXVyODYwODIzNTY@._V1_SX300.jpg","N/A","5.8","30","tt8630282","movie","N/A","N/A","N/A","N/A","True",NULL
"My Stupid Boss 2","2019","N/A","28 Mar 2019","96 min","Comedy, Drama","Upi Avianto","Upi Avianto (script writer)","Reza Rahadian, Bunga Citra Lestari, Kin Wah Chew, Atikah Suhaime","Bossman and his employees goes to Vietnam to find new workers for his company, but instead of getting new workers they got a lot of new troubles.","Indonesian, Malay, English, Vietnamese","Indonesia","N/A","https://m.media-amazon.com/images/M/MV5BNzlmNGM1MzAtOGY5Ny00NTI3LTgzNjEtYmViODcwMGQxNWNiXkEyXkFqcGdeQXVyNzY4NDQzNTg@._V1_SX300.jpg","N/A","6.8","165","tt10039468","movie","N/A","N/A","N/A","N/A","True",NULL
"The Set Up","2019","N/A","09 Aug 2019","103 min","Crime, Drama","Niyi Akinmolayan","Chinaza Onuzo","Dakore Akande, Kehinde Bankole, Adesua Etomi, Jim Iyke","A former drug smuggler and a confidence artist gets more than she bargains for when she is hired by a down on his luck businessman to assist with his scheme to marry a wealthy heiress. ...","English","Nigeria","N/A","https://m.media-amazon.com/images/M/MV5BYzQwZDhkYjQtZjNiNy00YTYzLTk1YTktNTQ4YTI4YTU2YTQ5XkEyXkFqcGdeQXVyNTMzODgyMDQ@._V1_SX300.jpg","N/A","N/A","N/A","tt10397734","movie","N/A","N/A","N/A","N/A","True",NULL
"Waco","2018","TV-14","24 Jan 2018","47 min","Crime, Drama, History, Thriller","N/A","N/A","Michael Shannon, Taylor Kitsch, Andrea Riseborough, Paul Sparks","The FBI and ATF seize religious leader David Koresh's Branch Davidian compound near Waco, Texas in the spring of 1993.","English","USA","Nominated for 3 Primetime Emmys. Another 2 nominations.","https://m.media-amazon.com/images/M/MV5BY2Q3NjIzZjMtN2QxMC00MGI2LWFlOTctMDRlYWVlNzdjY2U2XkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_SX300.jpg","N/A","7.9","9,129","tt6040674","series",NULL,NULL,NULL,NULL,"True","1"
"Alelí","2019","N/A","01 Mar 2020","88 min","Comedy, Drama","Leticia Jorge","Ana Guevara, Leticia Jorge","Néstor Guzzini, Mirella Pascual, Cristina Morán, Romina Peluffo","The death of their father causes three dysfunctional siblings to fight over their beloved childhood home.","Spanish","Uruguay, Argentina","N/A","https://m.media-amazon.com/images/M/MV5BNzVhYWY3OGEtZWZkZC00YjM2LTg3NDctY2RmMTRkNTcxMDFmXkEyXkFqcGdeQXVyMTkwNDQ0Mzg@._V1_SX300.jpg","N/A","6.7","24","tt10984818","movie","N/A","N/A","N/A","N/A","True",NULL
"Sprinter","2018","N/A","06 Sep 2019","114 min","Drama, Sport","Storm Saulter","Robert A. Maylor (based upon the characters created by), Storm Saulter (based upon the characters created by), Storm Saulter","Lorraine Toussaint, David Alan Grier, Bryshere Y. Gray, Shantol Jackson","A boy separated from his mother who has moved to the U.S. for a better life, is set to be Jamaica's next track-and-field sensation.","English","Jamaica, USA","6 wins & 1 nomination.","https://m.media-amazon.com/images/M/MV5BNGNlMTU1YjAtYjViYS00YTRkLTg3ZmMtODU2ODM0YWU1YTk4XkEyXkFqcGdeQXVyMjA2OTE4OA@@._V1_SX300.jpg","N/A","5.9","129","tt5903926","movie","N/A","N/A","N/A","N/A","True",NULL
"For Love or Money","1993","PG","01 Oct 1993","96 min","Comedy, Drama, Romance","Barry Sonnenfeld","Mark Rosenthal, Lawrence Konner","Michael J. Fox, Gabrielle Anwar, Anthony Higgins, Michael Tucker","Doug's a concierge at a luxury hotel on Manhattan. He saves all his tips towards his plan for a hotel. A potential investor seduces the girl, Doug loves, with false promises of leaving his wife. Doug's dilemma: hotel project or girl?","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BYjg1NGE4YjQtNGU3Yi00ZWJiLWFkZGYtY2Y2YTE0Njc3YTdiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg","N/A","6.2","11,525","tt0106941","movie","12 Aug 2003","N/A","MCA Universal Home Video","N/A","True",NULL
"Mischief Upon Mischief","2019","N/A","01 Sep 2018","N/A","Action, Adventure, Sci-Fi","Ken Gamble","Ken Gamble","Jamie Gray Hyder, Doris Morgado, Jeffrey Decker, Ken Gamble","Quaid Branson is abducted by aliens on the night of his engagement celebration and abruptly sent off to the Darovingian Mines; an asteroid slave mining colony on the outer rim of the galaxy...","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BZmE1NDZkYTAtM2Q2MC00YmI2LTk1OTEtNWZkY2JiYWRiZTM4XkEyXkFqcGdeQXVyMjM1MzM1NTA@._V1_SX300.jpg","N/A","N/A","N/A","tt7629780","movie","N/A","N/A","N/A","N/A","True",NULL
"Fittest in Dubai","2019","N/A","N/A","60 min","Documentary, Sport","Gerry Blaksley","N/A","Mat Fraser, Samantha Briggs, Sara Sigmunsdóttir, Laura Horvath","""Fittest in Dubai"" is a 60 min documentary film of the first CrossFit Sanctional event in the world. First place male and female competitors qualify for a position to the CrossFit Games in the United States.","English","United Arab Emirates","N/A","https://m.media-amazon.com/images/M/MV5BM2E2ODQyNTktMjhkNi00N2UzLTk0NTctNTEwNzUyOGFiYzM4XkEyXkFqcGdeQXVyNDg1MjUzNjI@._V1_SX300.jpg","N/A","6.2","115","tt10613550","movie","N/A","N/A","N/A","N/A","True",NULL
"Surviving R. Kelly: The Impact","2019","N/A","04 May 2019","120 min","Documentary","N/A","N/A","Soledad O'Brien","A look at the aftermath and global impact of the docuseries 'Surviving R. Kelly'.","N/A","USA","N/A","N/A","N/A","6.2","6","tt10260638","movie","N/A","N/A","N/A","N/A","True",NULL
"Code 8","2019","N/A","13 Dec 2019","98 min","Action, Crime, Drama, Sci-Fi, Thriller","Jeff Chan","Chris Pare (screenplay by), Jeff Chan (story by)","Kari Matchett, Robbie Amell, Penny Eizenga, Lawrence Bayne","A super-powered construction worker falls in with a group of criminals in order to raise the funds to help his ill mother.","English","Canada","N/A","https://m.media-amazon.com/images/M/MV5BNmQ2NWMyZDgtNWQ5My00ZmQwLWE0MTQtN2ZiNjY2ODc0Y2YxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg","48","6.1","19,739","tt6259380","movie","N/A","N/A","N/A","N/A","True",NULL
"School Life","2019","N/A","28 Aug 2019","111 min","Comedy, Drama","Mehdi Idir, Grand Corps Malade","Mehdi Idir (screenplay), Grand Corps Malade (screenplay)","Zita Hanrot, Liam Pierron, Soufiane Guerrab, Moussa Mansaly","The daily life of a school located in Saint Denis.","French, Arabic","France","1 win & 3 nominations.","https://m.media-amazon.com/images/M/MV5BNDRjZDQ1YTItZDgyZC00ZjkzLTk2MjAtM2ZmN2JlN2UxMTdhXkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_SX300.jpg","N/A","6.7","718","tt8783532","movie","N/A","N/A","N/A","N/A","True",NULL
"Tiffany Haddish: She Ready! From the Hood to Hollywood","2017","TV-MA","18 Aug 2017","65 min","Comedy","Chris Robinson","Tiffany Haddish","Tiffany Haddish","Stand up comedy performed by Tiffany Haddish.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BYzRmNzU4OWUtNTM4Mi00YjMzLWI1MzEtODRmZmU3NGViYzk3XkEyXkFqcGdeQXVyMzcwMjcwNQ@@._V1_SX300.jpg","N/A","6.7","250","tt6328116","movie","N/A","N/A","Showtime","N/A","True",NULL
"Born Beautiful","2019","N/A","23 Jan 2019","96 min","Comedy","Perci M. Intalan","Jun Lana (creator), Rody Vera (original story), Elmer L. Gatchalian (head writer), Fatrick Tabada (screenplay), Ivan Andrew Payawal (screenplay)","Martin del Rosario, Paolo Ballesteros, Lou Veloso, Chai Fonacier","After her best friend dies, Barbs starts a new life as a straight man named Bobby, which leads her to Trisha's ex-boyfriend Michaelangelo, to her own ex-boyfriend Greg and to a woman claiming she is pregnant with Barbs' child.","Filipino, Tagalog","Philippines","N/A","https://m.media-amazon.com/images/M/MV5BYmVlYWJmNzYtZTU3Ny00NzQxLWI3NTAtNDIyMGRhMzc0NDM5XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg","N/A","7.6","21","tt9364848","movie","N/A","N/A","N/A","N/A","True",NULL
"The Ghost Who Walks","2019","N/A","21 Jul 2019","106 min","Crime","Cody Stokes","Ben Bostick, Cody Stokes","Garland Scott, Frank Mosley, Alexia Rasmussen, Gil Darnell","An imprisoned criminal rats out his former boss for one last chance to reunite his family and become the father he never was.","English","USA","9 wins.","https://m.media-amazon.com/images/M/MV5BNDZlODhhZGMtNGZlYy00N2I1LWJhM2UtNjM4OWZhNzIzMjNjXkEyXkFqcGdeQXVyNDUwOTIzMg@@._V1_SX300.jpg","N/A","4.5","202","tt7612748","movie","N/A","N/A","N/A","N/A","True",NULL
"Mine 9","2019","Not Rated","08 Mar 2019","83 min","Drama","Eddie Mensore","Eddie Mensore","Terry Serpico, Mark Ashworth, Kevin Sizemore, Clint James","Two miles into the earth, nine Appalachian miners struggle to survive after a methane explosion leaves them with one hour of oxygen.","English","USA","4 wins.","https://m.media-amazon.com/images/M/MV5BNmNhOTRjM2ItZmFjMS00ZjdiLTlhNDAtMmZmZmM3ZDZhODA1XkEyXkFqcGdeQXVyMTUyMjQ0OA@@._V1_SX300.jpg","66","6.9","2,658","tt3517870","movie","07 Jan 2020","N/A","Emphatic Films","N/A","True",NULL
"Dark Light","2019","N/A","06 Dec 2019","90 min","Horror, Sci-Fi, Thriller","Padraig Reynolds","Padraig Reynolds","Jessica Madsen, Opal Littleton, Ed Brody, Kristina Clifford","A woman returns to her family home and discovers it to be inhabited by monsters.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BNjY2OGI4MDUtMjY3Ny00OTdjLWEzOGEtMDE1YTUwZjQ3NDA3XkEyXkFqcGdeQXVyNDgwMjg3Mg@@._V1_SX300.jpg","N/A","4.2","568","tt9135260","movie","06 Dec 2019","N/A","Vertical Entertainment","N/A","True",NULL
"Babamin Ceketi","2018","N/A","05 Oct 2018","99 min","Comedy","Müfit Can Saçinti","Müfit Can Saçinti","Sami Aksu, Duygu Benli, Kurt Berk, Erkan Can","Ferhat and Aslihan, who have been together for some time, want to crown their relationship with marriage. But Ferhat's being unemployed is a major obstacle to their marriage. In the ...","Turkish","Turkey","N/A","https://m.media-amazon.com/images/M/MV5BYWRhMzZhNzctNmVhYS00NDFhLTlkODMtMWMwZGY4ZjI5MDk3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg","N/A","5.0","514","tt8857590","movie","N/A","N/A","N/A","N/A","True",NULL
"School Daze","1988","R","12 Feb 1988","121 min","Comedy, Drama, Musical","Spike Lee","Spike Lee","Laurence Fishburne, Giancarlo Esposito, Tisha Campbell-Martin, Kyme","A not so popular young man wants to pledge to a popular fraternity at his historically black college.","English","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BODQzYzI5OTctMTAzMi00YWQ3LTliNWEtMmY2NjkzYTdiNGIxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","49","6.0","5,818","tt0096054","movie","30 Jan 2001","N/A","Sony Pictures Home Entertainment","N/A","True",NULL
"The Players Club","1998","R","08 Apr 1998","104 min","Comedy, Drama","Ice Cube","Ice Cube","LisaRaye McCoy, Dick Anthony Williams, Judyann Elder, Chrystale Wilson","A woman must contend with rival strippers and her boss in an attempt to make a legitimate living.","English","USA","1 win.","https://m.media-amazon.com/images/M/MV5BMTY0NDgwNzg4Ml5BMl5BanBnXkFtZTcwNzg3NTU0NA@@._V1_SX300.jpg","N/A","5.9","5,973","tt0119905","movie","14 Sep 1999","N/A","New Line Home Entertainment","N/A","True",NULL
"Indian Horse","2017","Not Rated","13 Apr 2018","101 min","Drama","Stephen S. Campanelli","Dennis Foon, Richard Wagamese (based on the novel by)","Sladen Peltier, Forrest Goodluck, Ajuawak Kapashesit, Michiel Huisman","Follows the life of Native Canadian Saul Indian Horse as he survives residential school and life amongst the racism of the 1970s. A talented hockey player, Saul must find his own path as he battles stereotypes and alcoholism.","English","Canada","9 wins & 9 nominations.","https://m.media-amazon.com/images/M/MV5BNjlkMjYzMjktMjFmOS00NzA3LWE2OGYtMDAxOTIwNTM3Y2M3XkEyXkFqcGdeQXVyODc1NDEyMzI@._V1_SX300.jpg","N/A","7.2","1,163","tt5672286","movie","N/A","N/A","N/A","N/A","True",NULL
"Sunrise in Heaven","2019","Not Rated","09 Apr 2019","85 min","Drama, Romance","Waymon Boone","Dan Benamor (screenplay), Jan Hurst (novel)","Caylee Cowan, Travis Burns, Corbin Bernsen, Bonnie Burroughs","A true love story that spans a lifetime but eventually results in a painful loss of love. Jan is the daughter of an overly protective militant father, but that doesn't stop her from falling love with Steve, a young GI in the Air Force.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BYTU2NmRjMTAtZjczYS00M2I5LThjOTctZmFmZjc0NjRmNWU1XkEyXkFqcGdeQXVyNzc3MDg1NTM@._V1_SX300.jpg","N/A","6.6","1,086","tt8801584","movie","N/A","N/A","Nasser Group","N/A","True",NULL
"El silencio es bienvenido","2017","N/A","01 Mar 2017","95 min","Drama","Gabriela García Rivas","Gabriela García Rivas","Roberto Fiesco, Tenoch Huerta, Enrique Medina, Jorge Luis Moreno","N/A","Spanish","Mexico","N/A","https://m.media-amazon.com/images/M/MV5BNTRlMjA2MDItNDdiMS00YjA0LWJkZmMtZWJiODEwMzI3YzIwXkEyXkFqcGdeQXVyMDgyNDI1OA@@._V1_SX300.jpg","N/A","N/A","N/A","tt6436212","movie","N/A","N/A","N/A","N/A","True",NULL
"Duniya","1984","NOT RATED","18 Sep 1984","169 min","Action, Drama","Ramesh Talwar","Javed Akhtar (dialogue), Javed Akhtar (screenplay), Javed Akhtar (story)","Ashok Kumar, Dilip Kumar, Rishi Kapoor, Amrita Singh","Mohan Kumar's diligence and honesty lands him in trouble with Balwant Singh Kalra, Jugal Kishore Ahuja, and Mr. Bhandari. Together the trio frame and imprison Mohan and make him watch ...","Hindi","India","N/A","https://m.media-amazon.com/images/M/MV5BNDQ3NzE4NjQ1NV5BMl5BanBnXkFtZTgwODMwNzMxNzE@._V1_SX300.jpg","N/A","7.5","93","tt0301231","movie","N/A","N/A","N/A","N/A","True",NULL
"Kaal","2005","Not Rated","29 Apr 2005","126 min","Adventure, Horror, Mystery, Sci-Fi, Thriller","Soham Shah","Soham Shah (dialogue), Soham Shah (screenplay), Soham Shah (story)","Ajay Devgn, Vivek Oberoi, John Abraham, Lara Dutta","A tiger expert, his wife, two tourists and a village chief engage in a battle for survival against supernatural beasts within Jim Corbett National Wildlife Park.","Hindi","India","2 nominations.","https://m.media-amazon.com/images/M/MV5BMzcwZTliMDMtYTRiZi00MTY0LTkwM2UtZTM2MmQ0NDA3MTgxXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg","N/A","4.6","4,541","tt0415908","movie","30 Aug 2005","$340,091","Neha Arts","N/A","True",NULL
"Brothers","2015","Not Rated","14 Aug 2015","156 min","Action, Drama, Sport","Karan Malhotra","Gavin O'Connor (original story), Cliff Dorfman (original story), Ekta Pathak Malhotra (adapted screenplay), Siddharth Singh (dialogue), Garima Wahal (dialogue), Anthony Tambakis (orignal story)","Akshay Kumar, Sidharth Malhotra, Jackie Shroff, Jacqueline Fernandez","Two estranged, street-fighting brothers square off against each other in a mixed martial arts tournament.","Hindi, English","India, USA","N/A","https://m.media-amazon.com/images/M/MV5BNzQ4Njg3Mjg5Nl5BMl5BanBnXkFtZTgwODE5MDg1NjE@._V1_SX300.jpg","N/A","6.5","10,979","tt3802576","movie","N/A","N/A","N/A","N/A","True",NULL
"CT Fletcher: My Magnificent Obsession","2015","N/A","18 Sep 2015","101 min","Documentary, Drama, Sport","Vlad Yudin","N/A","C.T. Fletcher, Stephen Adele, Steve Austin, Bill Goldberg","C.T. Fletcher shows you his story, and what he's all about.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMjMzNjM5MjgyOV5BMl5BanBnXkFtZTgwOTU1ODk1NjE@._V1_SX300.jpg","N/A","7.6","532","tt4939436","movie","N/A","N/A","Generation Iron Fitness Network","N/A","True",NULL
"Gumrah","1993","Not Rated","03 Aug 1993","149 min","Action, Crime, Drama, Thriller","Mahesh Bhatt","Robin Bhatt (dialogue), Robin Bhatt, Sujit Sen","Sanjay Dutt, Sridevi, Anupam Kher, Rahul Roy","Roshni Chadha is the only child of Sharda Chhadha, and has no knowledge of the whereabouts of her absconding dad, Prakash Chhadha. Roshni is introduced to Rahul Malhotra and both are ...","Hindi","India","1 nomination.","https://m.media-amazon.com/images/M/MV5BYWE4MWNiYzYtYzI5MS00MjRiLThiNjItYzdiODRlZDY2ZGFiXkEyXkFqcGdeQXVyOTI1NzYyOTE@._V1_SX300.jpg","N/A","6.4","521","tt0107060","movie","21 Dec 1999","N/A","N/A","N/A","True",NULL
"Friendship","2008","Not Rated","14 Nov 2008","145 min","Comedy, Drama, Romance","Tarun Mansukhani","Anvita Dutt (dialogue script), Tarun Mansukhani (first story)","Abhishek Bachchan, John Abraham, Priyanka Chopra, Kiron Kher","Two straight guys pretend to be gay in order to secure a Miami apartment. When both of them fall for their roommate Neha, hilarity ensues as they strive to convince one and all that they're gay whilst secretly trying to win her heart.","Hindi, English","India, USA","3 wins & 10 nominations.","https://m.media-amazon.com/images/M/MV5BOTE0NDU1ZTctYjRjYS00OTEyLTkzOWQtNmRiNDg5ZDU1ODBiXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg","N/A","6.5","13,183","tt1185420","movie","N/A","N/A","N/A","N/A","True",NULL
